Date,Flight Number,Destination,Delay
2006-01-15,1415,IAH,2
2006-01-15,1422,PHL,-2
2006-01-15,1440,BOS,50
2006-01-15,1455,SAN,34
2006-01-15,1457,IAH,5
2006-01-15,1474,DEN,-1
2006-01-15,1511,PHX,-1
2006-01-15,1523,EWR,87
2006-01-15,1526,CLE,7
2006-01-15,1531,RDU,9
2006-01-15,1534,SEA,-2
2006-01-15,1558,IAD,-1
2006-01-15,1563,BWI,-3
2006-01-15,1568,FLL,18
2006-01-15,1581,OGG,20
2006-01-15,1583,EWR,12
2006-01-15,1586,ORD,19
2006-01-15,1589,IAH,1
2006-01-15,1591,LAX,0
2006-01-15,1601,DEN,5
2006-01-15,1602,ATL,6
2006-01-15,1614,SAN,66
2006-01-15,1616,SEA,0
2006-01-15,1634,BOS,0
2006-01-15,1637,SEA,53
2006-01-15,1642,BOS,15
2006-01-15,1645,IAD,7
2006-01-15,1662,BOS,35
2006-01-15,1668,ORD,36
2006-01-15,1670,HNL,3
2006-01-15,1673,ORD,-5
2006-01-15,1681,CLE,-4
2006-01-15,1686,DCA,32
2006-01-15,1709,ORD,-8
2006-01-15,1710,LAX,-1
2006-01-15,1714,SEA,-1
2006-01-15,1717,ORD,29
2006-01-15,1720,IAD,21
2006-01-15,1721,KOA,16
2006-01-15,1723,KOA,-3
2006-01-15,1725,OGG,-8
2006-01-15,1727,IAD,0
2006-01-15,1728,ATL,26
2006-01-15,1748,AUS,-3
2006-01-15,1753,MCO,18
2006-01-15,1754,EWR,3
2006-01-15,1756,BOS,-8
2006-01-15,1760,IAD,3
2006-01-15,1900,SAN,3
2006-01-15,1911,AUS,-3
2006-01-15,1912,SNA,7
2006-01-15,1922,EWR,-1
2006-01-15,1925,IAD,59
2006-02-15,73,HNL,0
2006-02-15,217,EWR,6
2006-02-15,237,STL,20
2006-02-15,250,SAN,13
2006-02-15,267,PHL,-4
2006-02-15,273,SEA,42
2006-02-15,292,EWR,262
2006-02-15,300,HNL,7
2006-02-15,317,IND,312
2006-02-15,318,DEN,1
2006-02-15,322,SEA,-4
2006-02-15,331,DEN,-9
2006-02-15,355,IAD,-3
2006-02-15,358,LAS,-8
2006-02-15,388,ORD,-4
2006-02-15,392,LAS,0
2006-02-15,400,IAD,29
2006-02-15,408,IAD,-2
2006-02-15,433,LAX,-5
2006-02-15,434,LAS,-8
2006-02-15,437,LAS,-5
2006-02-15,444,BOS,-7
2006-02-15,464,PDX,-3
2006-02-15,468,IAH,-4
2006-02-15,477,ORD,15
2006-02-15,478,LAX,16
2006-02-15,480,PIT,2
2006-02-15,498,SAN,-4
2006-02-15,502,JFK,0
2006-02-15,516,IAD,0
2006-02-15,525,LAX,73
2006-02-15,560,SEA,187
2006-02-15,568,EWR,74
2006-02-15,577,EWR,16
2006-02-15,595,PDX,24
2006-02-15,616,ORD,60
2006-02-15,624,ORD,-3
2006-02-15,637,JFK,202
2006-02-15,650,AUS,3
2006-02-15,662,MSP,68
2006-02-15,671,DEN,99
2006-02-15,680,ORD,5
2006-02-15,698,ORD,32
2006-02-15,704,JFK,-11
2006-02-15,705,ORD,0
2006-02-15,714,LAS,34
2006-02-15,715,PHX,14
2006-02-15,718,SAN,-2
2006-02-15,720,DEN,-2
2006-02-15,721,DFW,-7
2006-02-15,728,ORD,7
2006-02-15,753,LAS,16
2006-02-15,756,DEN,-2
2006-02-15,758,JFK,26
2006-02-15,760,JFK,-2
2006-02-15,768,BOS,94
2006-02-15,769,LAX,12
2006-02-15,794,LIH,0
2006-02-15,814,LAX,18
2006-02-15,824,JFK,73
2006-02-15,898,JFK,37
2006-02-15,995,ORD,-8
2006-02-15,1002,LAX,5
2006-02-15,1029,LAS,17
2006-02-15,1038,IAH,-6
2006-02-15,1057,DEN,8
2006-02-15,1074,ORD,7
2006-02-15,1076,IAD,43
2006-02-15,1083,LAX,9
2006-02-15,1106,MCO,0
2006-02-15,1118,EWR,4
2006-02-15,1120,IAH,28
2006-02-15,1124,LAS,-6
2006-02-15,1130,LAX,-1
2006-02-15,1131,EWR,0
2006-02-15,1132,DFW,-7
2006-02-15,1135,RDU,8
2006-02-15,1138,MSY,95
2006-02-15,1149,EWR,4
2006-02-15,1156,EWR,58
2006-02-15,1171,DEN,12
2006-02-15,1175,HNL,25
2006-02-15,1185,EWR,59
2006-02-15,1192,LAX,-5
2006-02-15,1195,IAH,1
2006-02-15,1197,IAH,-1
2006-02-15,1199,MCO,-3
2006-02-15,1204,SEA,11
2006-02-15,1226,SNA,-10
2006-02-15,1250,IAH,0
2006-02-15,1257,ANC,185
2006-02-15,1266,EWR,13
2006-02-15,1267,SAN,62
2006-02-15,1268,IAD,1
2006-02-15,1273,OGG,2
2006-02-15,1291,BOS,3
2006-02-15,1415,IAH,5
2006-02-15,1422,PHL,4
2006-02-15,1440,BOS,32
2006-02-15,1455,SAN,18
2006-02-15,1457,IAH,76
2006-02-15,1474,DEN,22
2006-02-15,1504,PDX,1
2006-02-15,1511,PHX,33
2006-02-15,1523,EWR,36
2006-02-15,1526,CLE,19
2006-02-15,1531,RDU,58
2006-02-15,1534,SEA,1
2006-02-15,1558,IAD,41
2006-02-15,1563,BWI,-2
2006-02-15,1568,FLL,2
2006-02-15,1581,OGG,0
2006-02-15,1583,EWR,0
2006-02-15,1589,IAH,4
2006-02-15,1591,LAX,-8
2006-02-15,1601,DEN,13
2006-02-15,1602,ATL,7
2006-02-15,1614,SAN,58
2006-02-15,1616,SEA,81
2006-02-15,1634,BOS,0
2006-02-15,1637,SEA,-2
2006-02-15,1645,IAD,45
2006-02-15,1662,BOS,9
2006-02-15,1668,ORD,-2
2006-02-15,1670,HNL,186
2006-02-15,1673,ORD,6
2006-02-15,1681,CLE,-9
2006-02-15,1686,DCA,0
2006-02-15,1709,ORD,71
2006-02-15,1710,LAX,28
2006-02-15,1714,SEA,-1
2006-02-15,1717,ORD,45
2006-02-15,1721,KOA,-1
2006-02-15,1723,KOA,2
2006-02-15,1725,OGG,202
2006-02-15,1727,IAD,-6
2006-02-15,1728,ATL,58
2006-02-15,1748,AUS,4
2006-02-15,1753,MCO,-1
2006-02-15,1754,EWR,1
2006-02-15,1756,BOS,17
2006-02-15,1900,SAN,-4
2006-02-15,1911,AUS,16
2006-02-15,1912,SNA,25
2006-02-15,1922,EWR,-6
2006-02-15,1925,IAD,5
2006-03-15,73,HNL,354
2006-03-15,217,EWR,-6
2006-03-15,237,STL,-4
2006-03-15,250,SAN,41
2006-03-15,267,PHL,-6
2006-03-15,273,SEA,-5
2006-03-15,292,EWR,91
2006-03-15,300,HNL,2
2006-03-15,317,IND,25
2006-03-15,318,DEN,7
2006-03-15,322,SEA,-6
2006-03-15,331,DEN,65
2006-03-15,355,IAD,-2
2006-03-15,362,BOS,11
2006-03-15,388,ORD,-1
2006-03-15,392,LAS,-3
2006-03-15,408,IAD,2
2006-03-15,433,LAX,318
2006-03-15,434,LAS,101
2006-03-15,437,LAS,-9
2006-03-15,464,PDX,-2
2006-03-15,477,ORD,-4
2006-03-15,478,LAX,-9
2006-03-15,480,PIT,47
2006-03-15,502,JFK,-1
2006-03-15,516,IAD,-7
2006-03-15,522,PDX,50
2006-03-15,525,LAX,-7
2006-03-15,560,SEA,-9
2006-03-15,568,EWR,-3
2006-03-15,577,EWR,-1
2006-03-15,595,PDX,-5
2006-03-15,616,ORD,29
2006-03-15,624,ORD,3
2006-03-15,637,JFK,11
2006-03-15,650,AUS,0
2006-03-15,662,MSP,-3
2006-03-15,671,DEN,4
2006-03-15,680,ORD,0
2006-03-15,698,ORD,6
2006-03-15,704,JFK,6
2006-03-15,705,ORD,55
2006-03-15,715,PHX,-4
2006-03-15,718,SAN,2
2006-03-15,720,DEN,0
2006-03-15,721,DFW,154
2006-03-15,727,IAD,7
2006-03-15,728,ORD,-1
2006-03-15,753,LAS,0
2006-03-15,756,DEN,-9
2006-03-15,758,JFK,-6
2006-03-15,760,JFK,-3
2006-03-15,768,BOS,-3
2006-03-15,769,LAX,-2
2006-03-15,794,LIH,18
2006-03-15,806,ORD,-9
2006-03-15,814,LAX,3
2006-03-15,824,JFK,0
2006-03-15,887,LAX,-5
2006-03-15,898,JFK,38
2006-03-15,995,ORD,-3
2006-03-15,1002,LAX,2
2006-03-15,1029,LAS,12
2006-03-15,1038,IAH,15
2006-03-15,1057,DEN,-2
2006-03-15,1073,BOS,-8
2006-03-15,1074,ORD,35
2006-03-15,1076,IAD,9
2006-03-15,1083,LAX,25
2006-03-15,1106,MCO,1
2006-03-15,1118,EWR,21
2006-03-15,1120,IAH,-2
2006-03-15,1124,LAS,-4
2006-03-15,1130,LAX,-8
2006-03-15,1131,EWR,8
2006-03-15,1132,DFW,14
2006-03-15,1135,RDU,-7
2006-03-15,1138,MSY,6
2006-03-15,1156,EWR,73
2006-03-15,1171,DEN,18
2006-03-15,1175,HNL,10
2006-03-15,1185,EWR,-3
2006-03-15,1192,LAX,1
2006-03-15,1195,IAH,4
2006-03-15,1197,IAH,-3
2006-03-15,1199,MCO,3
2006-03-15,1204,SEA,-3
2006-03-15,1226,SNA,-6
2006-03-15,1236,LAS,-3
2006-03-15,1250,IAH,1
2006-03-15,1257,ANC,-3
2006-03-15,1266,EWR,-3
2006-03-15,1267,SAN,-6
2006-03-15,1268,LAS,0
2006-03-15,1273,OGG,-6
2006-03-15,1291,BOS,1
2006-03-15,1402,SAN,2
2006-03-15,1405,LAS,-3
2006-03-15,1415,IAH,54
2006-03-15,1422,PHL,5
2006-03-15,1440,BOS,7
2006-03-15,1453,IAH,5
2006-03-15,1455,SAN,-7
2006-03-15,1457,IAH,-4
2006-03-15,1474,DEN,-5
2006-03-15,1511,PHX,-3
2006-03-15,1523,EWR,4
2006-03-15,1526,CLE,2
2006-03-15,1531,RDU,-5
2006-03-15,1534,SEA,1
2006-03-15,1550,IAD,4
2006-03-15,1562,ORD,-1
2006-03-15,1563,BWI,19
2006-03-15,1568,FLL,-1
2006-03-15,1581,OGG,13
2006-03-15,1583,EWR,9
2006-03-15,1591,LAX,-3
2006-03-15,1601,DEN,2
2006-03-15,1602,ATL,29
2006-03-15,1614,SAN,-6
2006-03-15,1616,SEA,0
2006-03-15,1634,BOS,10
2006-03-15,1637,SEA,-3
2006-03-15,1645,IAD,-1
2006-03-15,1662,BOS,-2
2006-03-15,1668,ORD,23
2006-03-15,1670,HNL,2
2006-03-15,1681,CLE,0
2006-03-15,1686,DCA,-4
2006-03-15,1709,ORD,4
2006-03-15,1710,LAX,62
2006-03-15,1711,IAH,6
2006-03-15,1714,SEA,6
2006-03-15,1717,ORD,-1
2006-03-15,1721,KOA,46
2006-03-15,1723,KOA,11
2006-03-15,1725,OGG,8
2006-03-15,1728,ATL,56
2006-03-15,1748,AUS,-4
2006-03-15,1753,MCO,10
2006-03-15,1754,EWR,2
2006-03-15,1760,IAD,22
2006-03-15,1900,SAN,-3
2006-03-15,1911,AUS,10
2006-03-15,1912,SNA,5
2006-03-15,1922,EWR,144
2006-03-15,1925,IAD,8
2006-04-15,3,SAN,26
2006-04-15,72,LAS,19
2006-04-15,73,HNL,64
2006-04-15,209,LAX,-1
2006-04-15,222,LAX,-4
2006-04-15,230,AUS,2
2006-04-15,255,DEN,13
2006-04-15,256,AUS,48
2006-04-15,267,PHL,2
2006-04-15,273,SEA,4
2006-04-15,294,STL,-1
2006-04-15,300,HNL,21
2006-04-15,309,IAD,5
2006-04-15,311,PHX,-4
2006-04-15,318,DEN,32
2006-04-15,322,SEA,55
2006-04-15,325,BOS,-2
2006-04-15,331,DEN,-2
2006-04-15,351,SEA,18
2006-04-15,354,IAH,0
2006-04-15,358,PDX,62
2006-04-15,361,LIH,2
2006-04-15,362,ORD,10
2006-04-15,392,LAS,-4
2006-04-15,394,LAS,111
2006-04-15,408,IAD,6
2006-04-15,427,OGG,-2
2006-04-15,444,BOS,45
2006-04-15,455,BOS,-2
2006-04-15,464,PDX,20
2006-04-15,468,PHX,55
2006-04-15,477,ORD,30
2006-04-15,480,PIT,20
2006-04-15,500,ORD,9
2006-04-15,502,JFK,-5
2006-04-15,560,DFW,73
2006-04-15,568,EWR,-3
2006-04-15,577,EWR,2
2006-04-15,595,PDX,5
2006-04-15,611,SEA,-2
2006-04-15,620,ORD,-4
2006-04-15,624,ORD,68
2006-04-15,637,JFK,-4
2006-04-15,653,EWR,-1
2006-04-15,663,HNL,-1
2006-04-15,671,DEN,34
2006-04-15,698,MCO,-2
2006-04-15,704,JFK,15
2006-04-15,708,IAH,-8
2006-04-15,718,IAH,0
2006-04-15,721,EWR,-13
2006-04-15,727,IAD,-6
2006-04-15,728,ORD,16
2006-04-15,734,ORD,0
2006-04-15,736,EWR,54
2006-04-15,751,SEA,18
2006-04-15,754,ORD,-7
2006-04-15,758,JFK,-5
2006-04-15,759,EWR,-5
2006-04-15,760,JFK,-3
2006-04-15,816,LAX,-2
2006-04-15,824,JFK,3
2006-04-15,864,BOS,-7
2006-04-15,898,JFK,3
2006-04-15,1002,LAX,-1
2006-04-15,1060,IAH,0
2006-04-15,1062,MSP,59
2006-04-15,1073,BOS,27
2006-04-15,1074,ORD,2
2006-04-15,1076,LAX,18
2006-04-15,1087,BWI,25
2006-04-15,1106,MCO,3
2006-04-15,1111,EWR,-1
2006-04-15,1118,PDX,21
2006-04-15,1120,IAH,12
2006-04-15,1122,HNL,16
2006-04-15,1132,DFW,3
2006-04-15,1135,RDU,-4
2006-04-15,1143,DEN,-6
2006-04-15,1149,IAD,342
2006-04-15,1156,EWR,2
2006-04-15,1159,ORD,1
2006-04-15,1171,EWR,-2
2006-04-15,1174,PDX,31
2006-04-15,1187,EWR,19
2006-04-15,1197,IAH,4
2006-04-15,1199,SEA,-3
2006-04-15,1204,SEA,1
2006-04-15,1215,DEN,28
2006-04-15,1240,SNA,-4
2006-04-15,1247,SAN,-2
2006-04-15,1250,IAH,10
2006-04-15,1257,ANC,7
2006-04-15,1273,OGG,23
2006-04-15,1401,SAN,13
2006-04-15,1415,ORD,15
2006-04-15,1440,IAD,-7
2006-04-15,1449,LAS,-5
2006-04-15,1453,SEA,0
2006-04-15,1456,EWR,5
2006-04-15,1460,EWR,15
2006-04-15,1474,DEN,-2
2006-04-15,1526,DEN,9
2006-04-15,1531,RDU,-2
2006-04-15,1534,SEA,-7
2006-04-15,1563,ORD,0
2006-04-15,1564,LAS,170
2006-04-15,1579,LAX,4
2006-04-15,1581,OGG,5
2006-04-15,1583,EWR,-2
2006-04-15,1600,IAD,10
2006-04-15,1602,ATL,34
2006-04-15,1606,ORD,16
2006-04-15,1608,EWR,108
2006-04-15,1614,LAS,-1
2006-04-15,1616,SEA,1
2006-04-15,1635,DEN,62
2006-04-15,1645,IAD,-5
2006-04-15,1662,BOS,25
2006-04-15,1668,ORD,4
2006-04-15,1670,HNL,0
2006-04-15,1671,SAN,3
2006-04-15,1673,IAD,37
2006-04-15,1681,CLE,10
2006-04-15,1684,LIH,57
2006-04-15,1686,DCA,26
2006-04-15,1692,EWR,-10
2006-04-15,1717,ORD,10
2006-04-15,1721,KOA,4
2006-04-15,1723,KOA,-2
2006-04-15,1725,OGG,-3
2006-04-15,1727,IND,-1
2006-04-15,1728,ATL,30
2006-04-15,1742,LAS,5
2006-04-15,1743,LAX,408
2006-04-15,1748,AUS,117
2006-04-15,1751,LAS,11
2006-04-15,1753,MCO,18
2006-04-15,1756,LAX,0
2006-04-15,1900,SAN,2
2006-04-15,1912,SNA,-4
2006-04-15,1914,IAH,-4
2006-04-15,1925,IAD,13
2006-04-15,1927,IAH,8
2006-04-15,1928,ORD,0
2006-04-15,1939,IAD,9
2006-04-15,1942,SAN,97
2006-04-15,1946,BOS,12
2006-04-15,1947,PHL,29
2006-04-15,1950,CLE,23
2006-04-15,1957,LAX,-1
2006-04-15,1958,IAH,5
2006-04-15,1960,LAX,17
2006-04-15,1964,SEA,0
2006-04-15,1975,FLL,22
2006-04-15,1983,BOS,-6
2006-04-15,2000,PHX,-3
2006-05-15,3,SAN,0
2006-05-15,72,EWR,55
2006-05-15,73,HNL,0
2006-05-15,209,LAX,35
2006-05-15,222,LAX,10
2006-05-15,230,AUS,25
2006-05-15,255,DEN,-6
2006-05-15,256,AUS,9
2006-05-15,267,PHL,6
2006-05-15,273,SEA,-9
2006-05-15,294,STL,3
2006-05-15,300,HNL,14
2006-05-15,309,IAD,13
2006-05-15,311,PHX,2
2006-05-15,318,DEN,67
2006-05-15,322,SEA,-9
2006-05-15,331,DEN,35
2006-05-15,349,EWR,-3
2006-05-15,351,SEA,-1
2006-05-15,354,IAH,-6
2006-05-15,358,PDX,158
2006-05-15,361,LIH,-6
2006-05-15,390,ORD,27
2006-05-15,392,LAS,-5
2006-05-15,394,LAS,104
2006-05-15,408,IAD,-2
2006-05-15,427,OGG,56
2006-05-15,444,BOS,15
2006-05-15,455,BOS,-3
2006-05-15,464,PDX,-3
2006-05-15,468,PHX,-8
2006-05-15,477,ORD,6
2006-05-15,480,PIT,85
2006-05-15,489,ORD,16
2006-05-15,500,ORD,16
2006-05-15,502,JFK,29
2006-05-15,522,PDX,14
2006-05-15,560,DFW,-2
2006-05-15,568,EWR,-1
2006-05-15,577,EWR,-2
2006-05-15,587,SNA,13
2006-05-15,595,PDX,-9
2006-05-15,611,SEA,65
2006-05-15,620,ORD,-4
2006-05-15,624,ORD,0
2006-05-15,637,JFK,56
2006-05-15,663,HNL,16
2006-05-15,671,DEN,62
2006-05-15,698,MCO,27
2006-05-15,704,JFK,4
2006-05-15,718,IAH,-2
2006-05-15,724,CLE,-6
2006-05-15,727,IAD,10
2006-05-15,728,ORD,0
2006-05-15,734,ORD,-5
2006-05-15,736,EWR,19
2006-05-15,758,JFK,19
2006-05-15,759,SEA,7
2006-05-15,760,JFK,-5
2006-05-15,816,LAX,6
2006-05-15,824,JFK,-2
2006-05-15,864,BOS,9
2006-05-15,868,SEA,7
2006-05-15,898,JFK,0
2006-05-15,995,ORD,5
2006-05-15,1002,LAX,20
2006-05-15,1004,LAX,55
2006-05-15,1060,IAH,-3
2006-05-15,1062,MSP,45
2006-05-15,1073,BOS,23
2006-05-15,1074,ORD,5
2006-05-15,1076,BOS,2
2006-05-15,1087,BWI,7
2006-05-15,1106,MCO,5
2006-05-15,1111,EWR,7
2006-05-15,1118,EWR,47
2006-05-15,1120,IAH,25
2006-05-15,1122,HNL,29
2006-05-15,1124,LAS,8
2006-05-15,1132,DFW,1
2006-05-15,1135,RDU,2
2006-05-15,1143,DEN,22
2006-05-15,1149,IAD,-3
2006-05-15,1156,EWR,41
2006-05-15,1159,ORD,77
2006-05-15,1174,PDX,3
2006-05-15,1185,EWR,53
2006-05-15,1187,EWR,-1
2006-05-15,1197,IAH,21
2006-05-15,1199,SEA,27
2006-05-15,1204,SEA,-7
2006-05-15,1215,DEN,6
2006-05-15,1216,IAH,9
2006-05-15,1247,SAN,-4
2006-05-15,1250,IAH,17
2006-05-15,1257,ANC,2
2006-05-15,1263,ORD,45
2006-05-15,1273,OGG,41
2006-05-15,1401,SAN,23
2006-05-15,1440,IAD,4
2006-05-15,1449,LAS,-5
2006-05-15,1453,SEA,29
2006-05-15,1456,EWR,39
2006-05-15,1460,EWR,16
2006-05-15,1469,BOS,6
2006-05-15,1474,DEN,0
2006-05-15,1526,DEN,13
2006-05-15,1531,RDU,0
2006-05-15,1534,SEA,20
2006-05-15,1563,ORD,1
2006-05-15,1564,LAS,36
2006-05-15,1579,LAX,11
2006-05-15,1581,OGG,24
2006-05-15,1583,EWR,133
2006-05-15,1600,IAD,8
2006-05-15,1602,ATL,1
2006-05-15,1606,ORD,36
2006-05-15,1608,EWR,-6
2006-05-15,1614,LAS,1
2006-05-15,1635,DEN,25
2006-05-15,1645,IAD,-6
2006-05-15,1662,BOS,68
2006-05-15,1668,ORD,68
2006-05-15,1670,HNL,52
2006-05-15,1671,SAN,23
2006-05-15,1673,IAD,51
2006-05-15,1681,IAD,4
2006-05-15,1683,EWR,46
2006-05-15,1684,LIH,52
2006-05-15,1686,DCA,129
2006-05-15,1710,LAX,9
2006-05-15,1721,KOA,-9
2006-05-15,1723,KOA,10
2006-05-15,1725,OGG,4
2006-05-15,1727,IND,20
2006-05-15,1728,ATL,0
2006-05-15,1742,LAS,15
2006-05-15,1743,LAX,-1
2006-05-15,1748,AUS,-2
2006-05-15,1751,LAS,46
2006-05-15,1753,MCO,250
2006-05-15,1754,EWR,31
2006-05-15,1756,LAX,-4
2006-05-15,1900,SAN,3
2006-05-15,1912,SNA,68
2006-05-15,1914,IAH,55
2006-05-15,1925,IAD,20
2006-05-15,1927,IAH,37
2006-05-15,1928,ORD,14
2006-05-15,1937,IAH,155
2006-05-15,1939,IAD,-3
2006-05-15,1942,SAN,2
2006-05-15,1946,BOS,-2
2006-05-15,1947,PHL,-2
2006-05-15,1950,CLE,50
2006-05-15,1960,LAX,0
2006-05-15,1964,SEA,1
2006-05-15,1975,FLL,13
2006-05-15,2000,PHX,1
2006-06-15,72,SEA,-5
2006-06-15,73,HNL,39
2006-06-15,267,MCO,-1
2006-06-15,273,SEA,2
2006-06-15,300,HNL,63
2006-06-15,302,DEN,5
2006-06-15,311,PHX,1
2006-06-15,317,IND,-1
2006-06-15,322,SEA,-1
2006-06-15,325,BOS,35
2006-06-15,331,DEN,-2
2006-06-15,351,SEA,-8
2006-06-15,358,PDX,-2
2006-06-15,361,LIH,-8
2006-06-15,364,PDX,17
2006-06-15,379,IAH,11
2006-06-15,390,ORD,-3
2006-06-15,408,IAD,5
2006-06-15,427,OGG,183
2006-06-15,444,BOS,-3
2006-06-15,464,PDX,-6
2006-06-15,486,IAD,31
2006-06-15,489,ORD,20
2006-06-15,498,SAN,0
2006-06-15,499,IAH,3
2006-06-15,500,ORD,-1
2006-06-15,522,PDX,-6
2006-06-15,523,SAN,-3
2006-06-15,525,IAD,-16
2006-06-15,549,SAN,-4
2006-06-15,569,IAH,-5
2006-06-15,570,LAX,0
2006-06-15,577,EWR,42
2006-06-15,587,SNA,-12
2006-06-15,595,PDX,-3
2006-06-15,617,DEN,6
2006-06-15,637,JFK,33
2006-06-15,653,LAX,-5
2006-06-15,655,LAX,-5
2006-06-15,663,HNL,0
2006-06-15,701,AUS,-4
2006-06-15,707,SNA,9
2006-06-15,720,DEN,-4
2006-06-15,728,ORD,-3
2006-06-15,734,ORD,-1
2006-06-15,740,DEN,0
2006-06-15,748,DFW,-7
2006-06-15,758,JFK,-8
2006-06-15,759,RDU,-4
2006-06-15,760,JFK,18
2006-06-15,816,LAX,15
2006-06-15,824,JFK,1
2006-06-15,825,LAX,1
2006-06-15,1073,BOS,-2
2006-06-15,1074,ORD,5
2006-06-15,1076,IAD,-2
2006-06-15,1082,EWR,0
2006-06-15,1087,BWI,2
2006-06-15,1089,BOS,20
2006-06-15,1118,EWR,3
2006-06-15,1121,PHL,163
2006-06-15,1122,HNL,5
2006-06-15,1135,RDU,-3
2006-06-15,1159,LAX,-4
2006-06-15,1173,HNL,1
2006-06-15,1192,LAX,-4
2006-06-15,1197,IAH,-5
2006-06-15,1204,IAH,11
2006-06-15,1216,IAH,-4
2006-06-15,1247,BOS,23
2006-06-15,1250,IAH,-1
2006-06-15,1257,ANC,-2
2006-06-15,1273,OGG,-9
2006-06-15,1284,ORD,24
2006-06-15,1401,SAN,-4
2006-06-15,1437,AUS,-6
2006-06-15,1449,LAS,-3
2006-06-15,1453,SEA,-4
2006-06-15,1456,ATL,14
2006-06-15,1458,DEN,-3
2006-06-15,1526,IAH,22
2006-06-15,1531,EWR,10
2006-06-15,1535,KOA,4
2006-06-15,1564,LAS,2
2006-06-15,1579,LAX,7
2006-06-15,1581,OGG,-3
2006-06-15,1583,EWR,14
2006-06-15,1608,EWR,-4
2006-06-15,1614,LAS,10
2006-06-15,1635,DEN,-4
2006-06-15,1662,BOS,0
2006-06-15,1670,HNL,3
2006-06-15,1681,SAN,-1
2006-06-15,1684,LIH,-3
2006-06-15,1686,DCA,7
2006-06-15,1717,ORD,31
2006-06-15,1721,KOA,313
2006-06-15,1723,KOA,-5
2006-06-15,1725,OGG,-3
2006-06-15,1726,LAS,0
2006-06-15,1728,IAD,4
2006-06-15,1734,OGG,-2
2006-06-15,1742,LAS,0
2006-06-15,1743,LAX,1
2006-06-15,1750,PIT,-8
2006-06-15,1751,LAS,8
2006-06-15,1753,MCO,87
2006-06-15,1754,EWR,50
2006-06-15,1900,ORD,15
2006-06-15,1914,AUS,26
2006-06-15,1922,EWR,-1
2006-06-15,1925,IAD,-3
2006-06-15,1927,IAH,7
2006-06-15,1928,ORD,1
2006-06-15,1937,IAH,85
2006-06-15,1939,IAD,-2
2006-06-15,1944,EWR,6
